id_registro,estudiante,id_curso,nota,horas_estudio
1127,Sofia Ospina,C03,4.9,0
3465,Paula Duran,C05,4.9,20
328,Juan Martinez,C05,3.6,18
850,Alejandra Salazar,C04,3.9,10
2254,Nicolas Vargas,C03,4.5,10
128,Sebastian Pardo,C05,2.5,20
457,Juan Martinez,C01,3.0,12
1264,Sofia Rincon,C05,,3
1291,Daniela Salazar,C03,5.0,17
3376,Alejandra Herrera,C02,2.8,0
388,Sofia Rincon,C03,5.0,4
2325,Ana Beltran,C05,3.2,0
4981,Tomas Rincon,C03,5.0,16
4069,Laura Castro,C02,4.4,16
845,Sara Mendoza,C03,4.5,20
911,Isabella Beltran,C03,3.1,8
3572,Valeria Nieto,C04,3.7,2
4928,Juan Duran,C01,1.8,19
3705,Mateo Gomez,C02,4.9,2
305,Mateo Castro,C03,3.8,10
1603,Sebastian Silva,C05,4.0,16
4511,Juan Pardo,C04,3.4,14
2182,Sara Pardo,C05,3.3,17
4852,Sofia Rincon,C03,4.5,19
4160,Valeria Cabrera,C03,2.4,13
3616,Camila Beltran,C02,3.7,17
2127,Daniela Silva,C03,4.8,20
2369,Laura Beltran,C02,4.2,1
2533,Juan Vargas,C02,4.4,8
2540,Felipe Silva,C02,3.7,11
912,Felipe Ospina,C04,,12
2772,Mariana Vargas,C02,3.8,17
2534,Luis Mendoza,C05,5.0,0
840,Santiago Duran,C05,4.9,0
4838,Isabella Martinez,C04,3.8,16
4234,Paula Rojas,C05,3.8,2
1734,Mateo Salazar,C05,2.7,4
195,Daniela Silva,C01,,2
4050,Mateo Beltran,C05,5.0,8
961,Diego Martinez,C02,3.2,6
3073,Mariana Salazar,C05,3.5,7
389,Mateo Cabrera,C04,3.7,8
2767,Sofia Duran,C03,5.0,0
42,Mariana Duran,C04,3.1,12
1067,Nicolas Silva,C03,4.4,5
4038,Sara Martinez,C03,3.5,9
1769,Tomas Vargas,C04,3.6,7
153,Miguel Rincon,C01,3.4,12
4279,Laura Duran,C03,3.8,20
1382,Luis Duran,C03,3.7,18
3778,Carlos Ospina,C05,4.3,16
1198,Andres Rojas,C01,2.9,2
3411,Luis Mendoza,C04,3.2,0
4636,Carlos Salazar,C02,2.5,19
3951,Alejandra Herrera,C05,3.6,2
798,Tomas Duran,C03,4.7,2
2870,Andres Mendoza,C02,3.3,20
700,Gabriela Ospina,C02,3.8,4
934,Gabriela Beltran,C02,3.7,2
2386,Juan Mendoza,C01,2.5,11
4444,Diego Duran,C05,3.9,4
1672,Valeria Rincon,C02,2.2,2
2010,Sara Nieto,C02,4.1,1
928,Valeria Beltran,C05,3.2,12
4238,Tomas Pardo,C02,,1
1228,Diego Ospina,C02,4.3,3
2300,Carlos Vargas,C02,4.0,10
4913,Camila Ospina,C04,2.6,8
666,Carlos Vargas,C02,4.1,1
3611,Sebastian Mendoza,C04,3.9,16
1531,Alejandra Beltran,C02,4.1,16
1971,Sebastian Herrera,C05,3.0,3
4874,Diego Herrera,C01,3.2,3
4456,Tomas Pardo,C05,3.4,13
546,Sofia Gomez,C04,3.6,3
4659,Sofia Rojas,C04,3.7,11
3063,Nicolas Martinez,C04,4.3,11
4812,Sara Silva,C05,5.0,2
4461,Sofia Castro,C01,3.3,17
2053,Isabella Mendoza,C05,3.5,10
713,Luis Salazar,C05,3.1,10
3053,Sara Silva,C01,2.6,9
3875,Alejandra Silva,C01,1.1,16
4619,Camila Pardo,C05,3.6,11
3686,Diego Pardo,C01,2.5,3
2707,Camila Silva,C04,3.8,3
341,Ana Rojas,C03,5.0,16
2899,Carlos Rincon,C04,3.2,17
1749,Tomas Mendoza,C04,4.1,13
1726,Miguel Silva,C02,4.6,9
1716,Laura Martinez,C02,4.5,15
98,Laura Herrera,C03,4.4,4
1509,Mariana Silva,C02,4.5,16
4673,Valeria Rincon,C05,3.6,18
2930,Andres Castro,C05,4.6,12
4377,Nicolas Silva,C05,3.7,3
4325,Valeria Duran,C02,4.6,2
2434,Camila Beltran,C02,3.4,12
2507,Tomas Rojas,C03,4.1,9
3518,Juan Beltran,C05,4.9,9
777,Juan Ospina,C03,3.9,5
1869,Juan Castro,C04,2.9,10
4726,Tomas Gomez,C03,5.0,4
2908,Nicolas Beltran,C03,4.8,0
3179,Carlos Ospina,C03,3.8,20
3874,Isabella Rojas,C01,3.2,1
3522,Mariana Gomez,C01,1.7,3
2571,Sofia Cabrera,C05,4.1,1
4088,Mateo Silva,C04,3.4,18
2378,Andres Rojas,C01,3.8,4
1960,Miguel Herrera,C03,,14
797,Mateo Rincon,C01,1.6,6
2914,Santiago Beltran,C04,,6
3448,Santiago Salazar,C01,2.7,10
1155,Diego Nieto,C05,4.6,18
3743,Carlos Silva,C02,2.0,5
3181,Paula Rincon,C04,4.4,11
3058,Sara Silva,C02,3.1,17
1891,Paula Pardo,C02,2.4,4
1784,Valeria Castro,C01,3.1,10
1005,Carlos Rincon,C02,4.4,16
1765,Valeria Pardo,C03,4.2,13
3202,Sebastian Pardo,C02,2.1,10
4508,Daniela Rojas,C01,3.3,20
4817,Ana Martinez,C02,3.6,17
3436,Isabella Gomez,C02,4.4,0
915,Tomas Silva,C01,3.3,7
331,Daniela Silva,C03,3.7,15
2584,Alejandra Salazar,C02,4.4,4
3796,Santiago Herrera,C05,4.9,15
3191,Diego Cabrera,C04,4.3,2
2463,Sebastian Castro,C05,3.2,12
4406,Laura Martinez,C01,3.0,14
3864,Nicolas Gomez,C03,4.2,12
1333,Felipe Pardo,C03,3.6,18
3983,Sofia Nieto,C04,3.3,19
1513,Andres Herrera,C01,2.1,6
2202,Camila Mendoza,C05,3.8,20
4313,Ana Duran,C03,3.4,4
2061,Nicolas Rojas,C03,4.8,19
2500,Luis Silva,C04,,14
3524,Miguel Nieto,C03,3.6,3
3145,Diego Mendoza,C05,4.1,14
4428,Mateo Gomez,C01,1.0,12
1285,Santiago Castro,C03,5.0,8
1700,Valeria Cabrera,C04,3.5,20
1888,Isabella Silva,C04,,5
2223,Camila Ospina,C02,3.3,0
2215,Ana Vargas,C03,4.3,17
151,Felipe Rojas,C05,3.7,10
4564,Miguel Cabrera,C01,3.9,19
1614,Isabella Herrera,C04,2.8,15
1972,Andres Pardo,C03,5.0,6
1,Luis Martinez,C03,5.0,3
895,Nicolas Cabrera,C01,3.9,14
3184,Andres Martinez,C04,3.8,20
2259,Paula Gomez,C03,4.6,6
318,Miguel Nieto,C04,3.5,14
2832,Sara Beltran,C03,4.8,17
4624,Paula Vargas,C02,3.3,0
4621,Laura Cabrera,C01,3.3,11
1914,Santiago Duran,C04,3.2,11
3274,Juan Pardo,C04,2.3,13
4495,Felipe Silva,C03,5.0,14
2519,Felipe Duran,C03,4.6,13
3692,Camila Martinez,C01,1.6,9
365,Diego Castro,C04,4.1,11
1519,Laura Martinez,C02,3.4,15
2126,Mateo Beltran,C02,2.7,18
3738,Gabriela Cabrera,C01,3.1,12
4787,Sebastian Silva,C05,3.8,12
2146,Isabella Martinez,C02,2.3,20
15,Laura Beltran,C04,3.7,2
815,Sebastian Beltran,C01,2.8,10
1556,Sara Silva,C01,3.3,8
2725,Mateo Herrera,C02,3.6,11
3092,Daniela Pardo,C05,3.9,5
2516,Sebastian Gomez,C05,4.5,2
2538,Santiago Salazar,C02,,8
2777,Mariana Duran,C02,4.2,1
4765,Miguel Gomez,C01,3.6,2
2876,Nicolas Pardo,C01,2.3,20
453,Mateo Castro,C02,3.7,7
1954,Santiago Mendoza,C05,3.8,13
4889,Alejandra Rojas,C01,2.3,16
1453,Paula Rojas,C05,4.2,13
1301,Mateo Duran,C04,2.9,14
3363,Felipe Rincon,C03,1.9,6
2776,Santiago Martinez,C02,4.7,17
3020,Sofia Salazar,C02,4.6,15
237,Luis Salazar,C01,1.9,19
223,Sara Ospina,C05,3.5,6
3604,Santiago Salazar,C03,5.0,10
3720,Alejandra Duran,C02,3.9,10
2864,Laura Duran,C02,3.8,10
3629,Luis Pardo,C01,2.2,12
2234,Mateo Nieto,C03,4.4,14
4862,Ana Duran,C05,4.7,0
4670,Andres Salazar,C03,3.9,19
1872,Mateo Cabrera,C01,2.5,16
4848,Diego Martinez,C02,3.3,19
3861,Diego Beltran,C05,5.0,3
272,Mateo Nieto,C02,3.9,16
4672,Sebastian Gomez,C03,3.8,12
2492,Alejandra Gomez,C01,3.1,8
4206,Diego Nieto,C03,3.3,2
2299,Felipe Silva,C04,2.7,12
1205,Alejandra Salazar,C02,4.4,4
3218,Santiago Duran,C04,3.6,9
1401,Santiago Mendoza,C03,4.0,13
780,Juan Mendoza,C04,1.8,15
2962,Nicolas Rincon,C05,3.3,15
2100,Santiago Beltran,C01,2.1,12
1658,Daniela Gomez,C03,4.0,6
398,Diego Silva,C05,3.3,11
418,Juan Rojas,C01,2.9,0
3164,Santiago Rojas,C05,4.1,12
1422,Nicolas Martinez,C02,4.1,9
1581,Luis Vargas,C01,3.1,10
1905,Andres Rincon,C04,3.4,20
2668,Diego Rojas,C02,3.9,13
1545,Valeria Martinez,C02,,18
2291,Nicolas Vargas,C05,4.3,16
1862,Juan Martinez,C05,3.6,3
1326,Sofia Cabrera,C04,3.0,11
4163,Diego Rincon,C02,3.0,20
2436,Nicolas Pardo,C03,5.0,19
4367,Santiago Martinez,C02,4.1,8
354,Mariana Vargas,C01,3.4,9
3082,Gabriela Duran,C03,5.0,19
1052,Sofia Rincon,C04,2.4,5
1274,Tomas Duran,C02,4.4,2
4308,Diego Pardo,C01,3.8,3
1601,Nicolas Duran,C02,4.3,9
3575,Isabella Mendoza,C04,2.9,18
1063,Andres Beltran,C02,3.4,6
3821,Isabella Gomez,C01,2.7,3
1039,Sebastian Vargas,C02,3.5,14
2550,Miguel Beltran,C03,3.3,17
2340,Valeria Herrera,C05,4.3,7
3468,Tomas Rojas,C01,2.6,7
2188,Juan Herrera,C01,2.5,10
846,Paula Gomez,C02,3.9,3
4009,Daniela Salazar,C04,2.7,10
3070,Sebastian Cabrera,C03,4.8,15
3042,Miguel Castro,C04,2.8,9
1468,Miguel Salazar,C05,4.0,5
1331,Felipe Duran,C03,4.0,16
1979,Laura Duran,C01,3.0,12
3503,Daniela Rincon,C02,3.1,4
1329,Mateo Nieto,C03,5.0,9
2389,Santiago Castro,C03,4.2,10
2985,Camila Cabrera,C03,4.3,10
3613,Luis Rincon,C04,3.0,5
4668,Isabella Duran,C03,,15
1421,Luis Mendoza,C05,3.1,1
1932,Diego Vargas,C04,4.0,4
3163,Alejandra Gomez,C02,2.8,16
3234,Santiago Ospina,C05,3.5,18
910,Laura Salazar,C04,4.5,0
2035,Carlos Duran,C04,3.5,12
4339,Juan Cabrera,C05,5.0,9
3879,Carlos Ospina,C01,2.1,3
3075,Daniela Nieto,C03,4.3,18
3293,Luis Martinez,C05,4.7,3
3930,Andres Beltran,C05,3.9,7
4290,Laura Herrera,C04,4.0,18
1651,Isabella Mendoza,C01,,3
60,Alejandra Salazar,C02,4.0,4
886,Carlos Salazar,C05,3.7,1
1218,Valeria Castro,C05,4.1,9
1369,Juan Gomez,C05,4.6,19
2344,Nicolas Mendoza,C02,3.7,10
1873,Sebastian Pardo,C03,3.7,1
2598,Paula Salazar,C02,4.2,15
1876,Valeria Gomez,C04,3.4,8
1030,Carlos Ospina,C02,3.5,14
3470,Isabella Rincon,C04,1.9,8
4571,Gabriela Silva,C01,2.0,11
4861,Carlos Salazar,C03,4.3,18
3341,Sofia Cabrera,C01,3.3,3
1902,Alejandra Salazar,C03,3.7,5
2241,Felipe Pardo,C01,3.0,6
2394,Luis Cabrera,C01,4.0,14
3577,Ana Silva,C04,2.7,8
4998,Sara Silva,C01,3.3,6
545,Juan Silva,C05,3.0,7
2437,Luis Rincon,C02,3.3,18
1090,Valeria Nieto,C02,3.1,9
1808,Sebastian Martinez,C01,3.7,1
916,Luis Cabrera,C02,4.0,3
3343,Felipe Duran,C05,4.8,2
4586,Sara Rincon,C04,3.4,15
730,Nicolas Rincon,C05,3.5,20
4878,Diego Ospina,C05,3.5,10
1192,Mariana Mendoza,C01,2.1,6
37,Laura Beltran,C03,4.0,19
4259,Sofia Rojas,C05,4.0,9
2613,Mateo Nieto,C04,3.3,20
2081,Alejandra Silva,C05,4.6,7
3322,Camila Pardo,C04,2.6,14
3854,Valeria Rincon,C01,3.4,2
2918,Sara Salazar,C02,3.6,3
4291,Valeria Mendoza,C02,3.8,9
897,Camila Mendoza,C04,3.5,13
3407,Mateo Rincon,C05,3.7,17
4422,Gabriela Castro,C02,4.2,0
4034,Carlos Rojas,C02,4.1,7
486,Daniela Herrera,C02,,18
2686,Sara Ospina,C03,,17
4700,Sara Nieto,C01,2.1,5
67,Sebastian Ospina,C03,4.3,17
2390,Diego Nieto,C01,2.3,19
4343,Gabriela Castro,C05,4.1,16
2253,Andres Pardo,C05,3.6,15
502,Mateo Pardo,C04,3.5,13
754,Juan Gomez,C03,5.0,3
2054,Laura Nieto,C01,3.4,14
4074,Ana Salazar,C04,3.8,3
1354,Alejandra Castro,C04,3.3,14
4115,Juan Castro,C04,4.3,6
270,Mariana Rojas,C03,4.3,12
2964,Gabriela Beltran,C02,4.5,8
2071,Gabriela Ospina,C01,2.9,9
3638,Mateo Herrera,C04,3.4,9
4241,Gabriela Gomez,C03,4.2,12
3480,Santiago Rojas,C01,2.9,6
1930,Carlos Duran,C01,2.8,9
91,Sebastian Mendoza,C05,4.6,1
1289,Sofia Cabrera,C02,2.5,15
694,Felipe Cabrera,C01,4.2,3
1789,Isabella Cabrera,C05,,15
281,Ana Gomez,C05,4.5,2
2240,Miguel Salazar,C05,4.0,9
4920,Valeria Duran,C04,3.9,12
2483,Paula Silva,C02,4.0,1
2882,Luis Rojas,C04,2.7,3
2874,Diego Duran,C04,3.2,4
1241,Laura Duran,C04,3.7,17
3677,Mateo Salazar,C02,3.3,11
3798,Isabella Castro,C02,3.8,16
3663,Carlos Cabrera,C05,3.6,17
4075,Carlos Castro,C02,3.2,10
4820,Sebastian Ospina,C01,3.5,15
3797,Gabriela Vargas,C05,3.7,0
4701,Carlos Gomez,C05,2.8,19
1970,Ana Ospina,C03,4.6,14
1041,Tomas Rojas,C02,,7
1923,Valeria Gomez,C03,4.4,17
1577,Tomas Ospina,C05,3.1,0
1688,Mariana Rincon,C03,4.4,16
4420,Luis Vargas,C01,3.1,18
132,Ana Gomez,C05,4.3,14
1713,Sofia Herrera,C03,3.6,18
4235,Gabriela Rincon,C03,3.9,6
3800,Laura Pardo,C03,,17
4771,Diego Pardo,C05,4.2,12
3120,Diego Mendoza,C01,,2
1831,Santiago Silva,C04,3.7,5
1952,Miguel Pardo,C05,3.3,13
1622,Laura Gomez,C03,5.0,6
621,Paula Cabrera,C02,3.5,1
2431,Carlos Nieto,C02,3.2,14
1372,Ana Martinez,C03,4.8,2
4157,Laura Nieto,C05,4.1,9
3560,Valeria Nieto,C01,4.4,3
2567,Isabella Pardo,C03,3.4,8
1471,Sebastian Martinez,C05,4.4,5
4251,Gabriela Pardo,C01,3.2,15
3136,Camila Silva,C02,4.1,18
2774,Santiago Mendoza,C04,4.1,5
2741,Paula Gomez,C01,3.4,14
27,Felipe Rojas,C02,3.5,18
1259,Tomas Duran,C02,3.5,16
2504,Paula Gomez,C03,5.0,8
1635,Juan Silva,C02,4.6,20
469,Laura Herrera,C03,4.1,9
1036,Laura Herrera,C05,5.0,19
1540,Sofia Cabrera,C05,3.8,9
4605,Sara Martinez,C02,3.9,7
4268,Daniela Beltran,C05,4.4,3
1143,Diego Silva,C04,3.1,18
1819,Sofia Ospina,C03,4.5,16
2231,Mariana Nieto,C02,3.3,9
2222,Laura Salazar,C04,2.7,17
1937,Laura Cabrera,C03,4.5,13
4894,Alejandra Castro,C05,4.9,1
200,Sara Mendoza,C05,3.6,1
1436,Valeria Mendoza,C01,2.9,6
1934,Felipe Rincon,C05,3.3,4
1703,Diego Ospina,C01,4.0,7
149,Mariana Nieto,C04,4.1,1
111,Luis Herrera,C03,4.6,4
2272,Diego Nieto,C01,3.2,18
993,Santiago Silva,C04,3.6,0
3990,Miguel Nieto,C03,4.3,17
4933,Ana Cabrera,C01,2.5,7
4654,Laura Vargas,C03,4.8,6
218,Mariana Cabrera,C05,3.3,5
2938,Daniela Duran,C01,2.9,13
489,Tomas Duran,C05,5.0,9
4,Carlos Mendoza,C05,4.4,18
4064,Santiago Cabrera,C03,5.0,13
3186,Valeria Rojas,C04,1.5,17
107,Santiago Salazar,C04,2.5,3
4232,Santiago Gomez,C05,3.2,6
1189,Sara Gomez,C02,4.0,0
1927,Miguel Rincon,C04,3.6,7
3979,Felipe Nieto,C01,2.8,5
4539,Camila Martinez,C01,2.6,12
152,Mateo Gomez,C03,4.8,19
2722,Tomas Rincon,C01,1.8,7
589,Felipe Salazar,C03,3.3,12
4907,Laura Duran,C01,3.7,9
4418,Luis Duran,C02,2.6,14
3150,Mateo Vargas,C02,4.3,17
3453,Santiago Ospina,C02,2.8,14
4626,Sofia Castro,C04,3.2,15
2607,Juan Gomez,C04,,8
3957,Alejandra Cabrera,C03,2.9,12
1730,Daniela Salazar,C02,4.3,6
4617,Camila Mendoza,C02,4.2,2
3678,Nicolas Cabrera,C02,3.7,6
3495,Sebastian Duran,C02,3.6,10
4186,Daniela Salazar,C05,3.7,4
1738,Sebastian Beltran,C04,3.0,6
2716,Isabella Silva,C04,3.3,14
1776,Tomas Rojas,C05,5.0,7
1194,Carlos Mendoza,C04,4.1,16
139,Mateo Pardo,C02,3.9,15
4303,Valeria Vargas,C04,3.9,14
4454,Miguel Beltran,C02,4.9,0
1199,Paula Cabrera,C02,3.9,1
4259,Sofia Rojas,C05,4.0,9
1478,Tomas Silva,C05,4.5,10
3125,Santiago Beltran,C04,3.4,14
4767,Luis Gomez,C05,5.0,2
1772,Laura Nieto,C03,5.0,6
4403,Alejandra Cabrera,C04,2.9,9
4427,Felipe Rincon,C05,4.5,2
1632,Valeria Rojas,C02,2.0,8
786,Sofia Mendoza,C01,3.2,6
4739,Sofia Rincon,C05,4.4,13
1917,Sebastian Mendoza,C05,2.9,7
1447,Alejandra Gomez,C01,2.1,2
2459,Luis Gomez,C02,4.3,20
3622,Santiago Pardo,C04,,4
2868,Gabriela Silva,C03,3.7,10
839,Carlos Rincon,C01,3.2,8
1800,Nicolas Salazar,C05,5.0,10
2771,Luis Silva,C04,2.5,7
2280,Laura Silva,C01,3.1,10
689,Andres Duran,C04,2.7,8
3241,Sebastian Herrera,C01,3.6,7
3676,Camila Ospina,C02,5.0,15
1935,Nicolas Cabrera,C02,4.3,1
4430,Alejandra Silva,C03,4.8,3
316,Luis Duran,C05,4.3,18
731,Juan Nieto,C02,4.3,3
2810,Juan Duran,C03,3.8,19
3330,Juan Vargas,C05,2.4,3
391,Mariana Nieto,C04,2.7,11
769,Daniela Cabrera,C02,4.2,5
441,Laura Rincon,C04,2.6,11
3963,Santiago Nieto,C04,3.1,2
551,Mariana Nieto,C01,2.8,11
3128,Luis Ospina,C03,4.5,7
640,Isabella Rincon,C01,3.2,18
1256,Santiago Herrera,C02,4.3,20
4133,Sebastian Ospina,C01,2.8,20
3111,Mateo Castro,C01,2.8,5
3998,Sebastian Martinez,C04,4.3,16
2213,Diego Rojas,C04,3.4,14
4585,Sofia Vargas,C05,3.9,4
3551,Gabriela Silva,C04,3.9,8
2255,Felipe Silva,C02,4.5,3
996,Alejandra Ospina,C04,2.9,14
1588,Sebastian Gomez,C03,3.9,0
2745,Laura Castro,C02,4.8,6
4699,Camila Castro,C01,2.7,3
2748,Santiago Duran,C05,3.3,10
4057,Alejandra Duran,C03,5.0,2
1526,Valeria Beltran,C05,3.3,3
4312,Andres Beltran,C03,4.6,3
3727,Felipe Cabrera,C01,3.2,20
1856,Tomas Nieto,C01,2.2,17
2650,Ana Herrera,C04,3.1,8
2796,Felipe Nieto,C01,2.9,2
2782,Diego Nieto,C04,2.5,1
1125,Sara Vargas,C02,5.0,3
2149,Sofia Mendoza,C05,3.5,0
2802,Sofia Vargas,C04,3.4,5
2207,Gabriela Duran,C03,4.6,11
3863,Isabella Martinez,C01,2.1,18
3886,Isabella Rincon,C02,4.8,20
1753,Mariana Castro,C05,3.5,11
2317,Miguel Rincon,C04,3.9,5
4644,Juan Herrera,C03,4.7,20
1859,Mariana Martinez,C03,,13
4982,Valeria Ospina,C04,,18
4314,Luis Castro,C04,3.8,0
4910,Laura Mendoza,C02,4.8,17
3906,Tomas Duran,C02,3.7,3
4584,Miguel Gomez,C01,3.5,18
3301,Alejandra Gomez,C01,2.7,16
692,Paula Gomez,C03,5.0,18
1921,Sofia Herrera,C02,4.1,11
2811,Isabella Salazar,C02,2.9,8
4988,Camila Beltran,C05,5.0,18
433,Nicolas Salazar,C01,3.5,17
1737,Santiago Beltran,C04,3.4,18
1806,Carlos Silva,C04,3.1,11
443,Sara Martinez,C02,4.0,8
4100,Ana Nieto,C05,4.6,5
676,Daniela Rincon,C05,4.0,16
1774,Miguel Rojas,C05,3.4,20
194,Tomas Duran,C01,3.3,16
4723,Paula Beltran,C05,4.6,18
662,Ana Pardo,C05,2.7,15
3076,Mariana Ospina,C05,4.5,9
3895,Sebastian Castro,C04,3.0,0
1452,Daniela Salazar,C05,3.8,1
3683,Mateo Ospina,C02,3.0,4
2703,Sara Duran,C04,3.9,6
821,Felipe Cabrera,C01,1.4,15
2086,Tomas Cabrera,C05,4.9,1
1428,Luis Castro,C02,4.5,6
1087,Sara Pardo,C05,5.0,11
1628,Valeria Martinez,C03,3.8,4
446,Nicolas Salazar,C01,1.8,9
783,Sofia Nieto,C01,1.8,15
262,Mariana Pardo,C03,3.5,7
4612,Mariana Rincon,C02,4.7,10
3547,Tomas Gomez,C05,3.9,5
3531,Diego Rincon,C04,2.4,4
3528,Sofia Salazar,C02,4.1,10
1307,Santiago Ospina,C01,3.6,4
3434,Daniela Rincon,C05,4.2,3
1071,Andres Vargas,C04,3.1,18
2939,Luis Rincon,C05,3.1,13
2077,Valeria Rincon,C01,2.2,2
3,Diego Martinez,C01,3.5,1
1079,Ana Herrera,C01,2.9,7
2152,Luis Pardo,C04,3.6,3
2129,Isabella Ospina,C05,4.3,1
1611,Camila Rincon,C05,,16
3596,Juan Duran,C01,3.5,18
201,Laura Duran,C02,4.0,5
1838,Felipe Nieto,C04,4.3,14
1828,Tomas Rojas,C02,4.2,4
3230,Daniela Beltran,C04,3.2,19
2681,Gabriela Duran,C05,,5
1649,Tomas Gomez,C05,4.3,1
3189,Paula Duran,C01,2.3,12
1507,Valeria Vargas,C03,3.7,16
3216,Santiago Nieto,C05,4.0,15
